what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567990697
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1512567992525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1512567992525
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1512567992605
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1512567992644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567992996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512567994354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568074200
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568076082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1512568078336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568078426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568089359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1512568113082
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568113325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568122511
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1512568163917
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1512568164283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1512568164283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568164557
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1512568165640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568178442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568179164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568183553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568231437
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1512568232216
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1512568232264
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1512568232267
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1512568232269
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1512568232332
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568232591
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568235320
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1512568240447
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568247246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568625540
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1512568625808
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512568659091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902170188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902171795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902389217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902392738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902755934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902759258
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1512902761263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902761387
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1512902767498
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1512902769096
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1512902769098
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1512902769100
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1512902769102
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1512902769103
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1512902769107
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1512902769110
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1512902769110
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1512902769113
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1512902769135
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1512902769142
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1512902769146
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1512902769146
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1512902769151
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1512902769151
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1512902769152
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.2.201102110609,"org.eclipse.cdt.managedbuilder.core",1512902769170
stopped,bundle,org.eclipse.cdt.make.core,7.0.1.201102110609,"org.eclipse.cdt.make.core",1512902769177
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1512902769210
stopped,bundle,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui",1512902769227
stopped,bundle,org.eclipse.cdt.core,5.2.1.201102110609,"org.eclipse.cdt.core",1512902769257
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1512902769271
